episode,step,burst_local_hit,burst_edge_hit
1.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0
1.0,2.0,0.2,0.2
1.0,3.0,0.0,0.0
1.0,4.0,0.0,0.0
1.0,5.0,1.0,1.0
1.0,6.0,0.0,0.0
1.0,7.0,0.0,0.0
1.0,8.0,0.0,0.0
1.0,9.0,0.0,0.0
1.0,10.0,0.37575757575757573,0.5757575757575758
1.0,11.0,0.8203592814371258,1.0
1.0,12.0,0.6887417218543046,0.7880794701986755
1.0,13.0,1.0,1.0
1.0,14.0,0.7758620689655172,0.8735632183908046
1.0,15.0,0.8012048192771084,0.8012048192771084
1.0,16.0,0.2625,0.51875
1.0,17.0,1.0,1.0
1.0,18.0,0.891566265060241,1.0
1.0,19.0,1.0,1.0
1.0,20.0,1.0,1.0
1.0,21.0,1.0,1.0
1.0,22.0,1.0,1.0
1.0,23.0,1.0,1.0
1.0,24.0,0.3333333333333333,0.3333333333333333
1.0,25.0,0.6,0.8
1.0,26.0,0.0,0.25
1.0,27.0,0.6,1.0
1.0,28.0,1.0,1.0
1.0,29.0,1.0,1.0
